city,match_type,team1,team2,toss_winner,toss_decision,winner,method
NA,League,KKR,DC,KKR,bat,DC,NA
NA,League,RR,PBKS,PBKS,field,PBKS,NA
Abu Dhabi,League,CSK,DC,CSK,bat,CSK,NA
NA,League,PBKS,SRH,SRH,field,PBKS,NA
NA,League,RR,CSK,RR,field,CSK,NA
NA,League,RCB,KKR,RCB,field,KKR,NA
NA,League,SRH,DC,SRH,bat,SRH,NA
NA,League,CSK,MI,MI,bat,CSK,NA
Abu Dhabi,League,RR,RCB,RR,field,RR,NA
Abu Dhabi,League,KKR,PBKS,KKR,field,PBKS,NA
NA,League,DC,MI,MI,bat,DC,NA
NA,League,SRH,CSK,SRH,bat,CSK,NA
NA,League,PBKS,RCB,PBKS,field,PBKS,NA
Abu Dhabi,League,KKR,RR,RR,bat,RR,NA
NA,League,MI,SRH,MI,field,SRH,NA
Ranchi,League,CSK,KKR,CSK,bat,CSK,NA
Mumbai,League,MI,PBKS,PBKS,bat,MI,NA
Delhi,League,DC,RR,RR,field,RR,NA
Bengaluru,League,RCB,SRH,RCB,field,RCB,NA
Ahmedabad,League,RR,KKR,KKR,field,RR,NA
Delhi,League,DC,CSK,CSK,field,CSK,NA
Mumbai,League,MI,RCB,RCB,field,MI,NA
Delhi,League,DC,KKR,DC,bat,KKR,NA
Cuttack,League,PBKS,CSK,CSK,field,PBKS,NA
Ahmedabad,League,RR,SRH,RR,field,SRH,NA
Bengaluru,League,RCB,PBKS,RCB,field,PBKS,NA
Delhi,League,DC,SRH,SRH,field,SRH,D/L
Mumbai,League,MI,CSK,CSK,field,CSK,NA
Cuttack,League,PBKS,KKR,KKR,field,KKR,NA
Bengaluru,League,RCB,RR,RCB,bat,RR,NA
Hyderabad,League,SRH,MI,SRH,bat,MI,NA
Ranchi,League,CSK,RR,RR,bat,CSK,NA
Bengaluru,League,RCB,DC,DC,field,RCB,NA
Hyderabad,League,SRH,PBKS,PBKS,field,PBKS,NA
Cuttack,League,KKR,MI,KKR,field,KKR,NA
Ahmedabad,League,RR,DC,DC,field,RR,NA
Ranchi,League,CSK,RCB,CSK,bat,RCB,NA
Hyderabad,League,SRH,KKR,SRH,bat,KKR,NA
Ahmedabad,League,RR,MI,MI,bat,MI,NA
Delhi,League,DC,PBKS,PBKS,field,PBKS,NA
Hyderabad,League,SRH,RCB,RCB,bat,SRH,NA
Kolkata,League,KKR,CSK,KKR,field,KKR,NA
Chandigarh,League,PBKS,MI,MI,field,MI,NA
Kolkata,League,KKR,RCB,RCB,field,KKR,NA
Ranchi,League,CSK,SRH,SRH,field,SRH,NA
Mumbai,League,MI,DC,DC,field,MI,NA
Chandigarh,League,PBKS,RR,RR,field,PBKS,NA
Bengaluru,League,RCB,CSK,CSK,field,CSK,NA
Kolkata,League,KKR,SRH,KKR,field,KKR,NA
Chandigarh,League,PBKS,DC,PBKS,field,PBKS,NA
Mumbai,League,MI,RR,MI,field,MI,NA
Kolkata,Qualifier 1,PBKS,KKR,PBKS,field,KKR,NA
Mumbai,Eliminator,CSK,MI,CSK,field,CSK,NA
Mumbai,Qualifier 2,CSK,PBKS,CSK,field,PBKS,NA
Bengaluru,Final,KKR,PBKS,KKR,field,KKR,NA
Kolkata,League,KKR,MI,KKR,field,KKR,NA
Chennai,League,CSK,DC,DC,field,CSK,NA
Pune,League,PBKS,RR,PBKS,field,RR,NA
Chennai,League,CSK,SRH,CSK,bat,CSK,NA
Kolkata,League,KKR,RCB,RCB,field,RCB,NA
Delhi,League,DC,RR,RR,field,RR,NA
Mumbai,League,MI,PBKS,MI,field,PBKS,NA
Bengaluru,League,RCB,SRH,SRH,field,SRH,NA
Ahmedabad,League,RR,MI,MI,bat,RR,NA
Pune,League,PBKS,DC,PBKS,bat,DC,NA
Visakhapatnam,League,SRH,RR,RR,field,RR,NA
Mumbai,League,MI,CSK,MI,bat,CSK,NA
Visakhapatnam,League,SRH,DC,DC,bat,DC,NA
Pune,League,PBKS,KKR,KKR,field,KKR,NA
Ahmedabad,League,RR,CSK,CSK,bat,RR,NA
Bengaluru,League,RCB,MI,RCB,field,MI,NA
Delhi,League,DC,KKR,KKR,field,KKR,NA
Ahmedabad,League,RR,PBKS,PBKS,field,PBKS,NA
Visakhapatnam,League,SRH,KKR,KKR,field,SRH,D/L
Bengaluru,League,RCB,CSK,RCB,field,CSK,NA
Delhi,League,DC,MI,MI,field,DC,NA
Ahmedabad,League,RR,RCB,RCB,field,RCB,NA
Mumbai,League,MI,SRH,MI,bat,MI,NA
Chennai,League,CSK,PBKS,CSK,bat,CSK,NA
Delhi,League,DC,RCB,RCB,field,RCB,NA
Chandigarh,League,PBKS,SRH,PBKS,field,SRH,NA
Chennai,League,CSK,KKR,KKR,field,CSK,NA
Bengaluru,League,RCB,RR,RR,field,NA,NA
Kolkata,League,KKR,CSK,KKR,field,KKR,NA
Delhi,League,DC,PBKS,DC,field,DC,NA
Mumbai,League,MI,RR,RR,field,MI,NA
Bengaluru,League,RCB,KKR,RCB,field,RCB,NA
Hyderabad,League,SRH,CSK,CSK,field,SRH,NA
Chandigarh,League,PBKS,MI,MI,bat,MI,NA
Mumbai,League,RR,DC,DC,field,RR,NA
Chennai,League,CSK,RCB,CSK,bat,CSK,NA
Kolkata,League,KKR,SRH,SRH,field,KKR,NA
Mumbai,League,MI,DC,DC,bat,MI,NA
Bengaluru,League,RCB,PBKS,PBKS,field,RCB,NA
Kolkata,League,KKR,DC,KKR,bat,KKR,NA
Mumbai,League,RR,SRH,RR,field,SRH,NA
Chennai,League,CSK,MI,CSK,bat,MI,NA
Kolkata,League,KKR,PBKS,PBKS,bat,KKR,NA
Raipur,League,DC,SRH,SRH,bat,SRH,NA
Mumbai,League,MI,RCB,RCB,bat,RCB,NA
Chennai,League,CSK,RR,CSK,bat,CSK,NA
Hyderabad,League,SRH,PBKS,SRH,bat,SRH,NA
Raipur,League,DC,CSK,CSK,bat,DC,NA
Chandigarh,League,PBKS,RCB,RCB,field,PBKS,NA
Mumbai,League,MI,KKR,KKR,field,MI,NA
Hyderabad,League,SRH,RCB,SRH,bat,RCB,D/L
Chandigarh,League,PBKS,CSK,PBKS,bat,CSK,NA
Mumbai,League,RR,KKR,RR,bat,RR,NA
Bengaluru,League,RCB,DC,RCB,field,NA,NA
Hyderabad,League,SRH,MI,SRH,bat,MI,NA
Mumbai,Qualifier 1,CSK,MI,MI,bat,MI,NA
Pune,Eliminator,RCB,RR,RCB,bat,RCB,NA
