Team,Name,Role,Bowling Type,Batting Position,Nationality,Priority,Rating
GT,Shubman Gill,Batter,NA,Opener,India,Top,10
GT,Glenn Phillips,All Rounder,NA,Middle,New Zealand,High,10
GT,Nishant Sindhu,All Rounder,Spin,Middle,India,Mid,8
GT,Washington Sundar,All Rounder,Spin,Middle,India,Top,9
GT,Arshad Khan,All Rounder,Pace,Lower Middle,India,Mid,8
GT,Sai Kishore,All Rounder,Spin,Lower Middle,India,High,9
GT,Jayant Yadav,All Rounder,Spin,Lower Middle,India,Mid,8
GT,Jason Holder,All Rounder,Pace,Middle,West Indies,High,8
GT,Sai Sudarshan,Batter,Spin,Top,India,Top,9
GT,Shah Rukh Khan,Batter,Spin,Middle,India,Mid,8
GT,Rahul Tewatia,All Rounder,Spin,Lower Middle,India,Mid,8
GT,Rashid Khan,All Rounder,Spin,Lower Middle,Afghanistan,Top,10
GT,Kagiso Rabada,Bowler,Pace,Lower,South Africa,Top,10
GT,Mohammed Siraj,Bowler,Pace,Lower,India,Top,10
GT,Prasidh Krishna,Bowler,Pace,Lower,India,Top,9
GT,Manav Suthar,Bowler,Spin,Lower,India,Low,7
GT,Gurnoor Brar,Bowler,Pace,Lower,India,Low,7
GT,Ishant Sharma,Bowler,Pace,Lower,India,Mid,8
GT,Ashok Sharma,Bowler,Pace,Lower,India,Low,8
GT,Kulwant Khejroliya,Bowler,Pace,Lower,India,Low,7
GT,Luke Wood,Bowler,Pace,Lower,England,Mid,8
KKR,Finn Allen,WK,NA,Opener,New Zealand,High,9
KKR,Tejasvi Singh,WK,NA,Middle,India,Low,7
KKR,Tim Seifert,WK,NA,Opener,New Zealand,Mid,8
KKR,Ajinkya Rahane,Batter,NA,Top,India,Top,9
KKR,Angkrish Raghuvanshi,Batter,NA,Opener,India,Top,9
KKR,Rinku Singh,Batter,NA,Middle,India,Top,9
KKR,Manish Pandey ,Batter,NA,Middle,India,Mid,9
KKR,Rahul Tripathi,Batter,NA,Top,India,Mid,8
KKR,Rovman Powell,All Rounder,Pace,Middle,West Indies,Mid,9
KKR,Cameron Green,All Rounder,Pace,Top,Australia,Top,10
KKR,Sunil Narine,All Rounder,Spin,Lower Middle,West Indies,Top,10
KKR,Anukul Roy,All Rounder,Spin,Middle,India,Mid,8
KKR,Sarthak Ranjan,All Rounder,Spin,Middle,India,Low,8
KKR,Daksh Kamra,All Rounder,Pace,Middle,India,Low,7
KKR,Rachin Ravindra,All Rounder,Spin,Top,New Zealand,Mid,10
KKR,Ramandeep Singh,All Rounder,Spin,Lower Middle,India,Mid,8
KKR,Vaibhav Arora,Bowler,Pace,Lower,India,High,9
KKR,Matheesha Pathirana,Bowler,Pace,Lower,Sri Lanka,High,10
KKR,kartik Tyagi,Bowler,Pace,Lower,India,Mid,8
KKR,Prashant Solanki,Bowler,Pace,Lower,India,Low,7
KKR,Blessing Muzarabani,Bowler,Pace,Lower,Bangladesh,Top,9
KKR,Navdeep Saini,Bowler,Pace,Lower Middle,India,Mid,9
KKR,Akash Deep,Bowler,Pace,Lower,India,High,8
KKR,Umran Malik,Bowler,Pace,Lower,India,Mid,8
KKR,Varun chakravarthy,Bowler,Spin,Lower,India,Top,10
LSG,Rishab Pant,WK,NA,Middle,India,Top,9
LSG,Nicholas Pooran,WK,NA,Top,West Indies,Top,10
LSG,Josh Inglis,WK,NA,Opener,Australia,Mid,8
LSG,Mukul Choudhary,WK,NA,Top,India,Low,7
